rank,item,repo_name,stars,forks,watchers,language,repo_url,username,pullRequests,milestones,issues,totalIssues,vulnerability,created,last_commit,description
3,C,netdata,57155,5136,1405,C,https://github.com/netdata/netdata,netdata,5440,49,160,6431,0,2013-06-17T18:39:10Z,2021-12-28T20:09:34Z,"Real-time performance monitoring, done right! https://www.netdata.cloud"
4,C,redis,52530,20516,2641,C,https://github.com/redis/redis,redis,4720,8,1615,5171,0,2009-03-21T22:32:25Z,2021-12-28T22:45:19Z,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
5,C,git,40554,22689,2308,C,https://github.com/git/git,git,998,0,0,0,0,2008-07-23T14:21:26Z,2021-12-28T20:29:43Z,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
6,C,obs-studio,34649,5483,1396,C,https://github.com/obsproject/obs-studio,obsproject,3721,8,466,1804,0,2013-10-01T02:40:31Z,2021-12-28T20:34:36Z,OBS Studio - Free and open source software for live streaming and screen recording
7,C,php-src,33002,7013,1460,C,https://github.com/php/php-src,php,7767,4,27,54,0,2011-06-16T01:52:25Z,2021-12-28T23:13:12Z,The PHP Interpreter
8,C,wrk,30905,2550,750,C,https://github.com/wg/wrk,wg,117,0,109,360,0,2012-03-20T11:12:28Z,2021-12-28T21:22:09Z,Modern HTTP benchmarking tool
9,C,ijkplayer,29796,7719,1217,C,https://github.com/bilibili/ijkplayer,bilibili,217,0,2641,5130,0,2013-06-03T04:12:04Z,2021-12-28T15:15:44Z,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support."
10,C,Ventoy,29694,2227,479,C,https://github.com/ventoy/Ventoy,ventoy,201,2,230,1058,0,2020-03-10T15:19:19Z,2021-12-28T21:56:18Z,A new bootable USB solution.
11,C,FFmpeg,27521,9056,1264,C,https://github.com/FFmpeg/FFmpeg,FFmpeg,375,0,0,0,0,2011-04-14T14:12:38Z,2021-12-28T23:13:25Z,Mirror of https://git.ffmpeg.org/ffmpeg.git
12,C,tmux,23434,1642,426,C,https://github.com/tmux/tmux,tmux,461,0,18,2553,0,2015-06-03T23:32:55Z,2021-12-28T22:29:38Z,tmux source code
13,C,the_silver_searcher,23064,1319,426,C,https://github.com/ggreer/the_silver_searcher,ggreer,677,1,383,784,0,2011-11-19T19:50:47Z,2021-12-28T19:59:50Z,"A code-searching tool similar to ack, but faster."
14,C,curl,22972,4796,711,C,https://github.com/curl/curl,curl,4874,0,15,3116,0,2010-03-18T22:32:22Z,2021-12-28T22:35:30Z,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET and TFTP. libcurl offers a myriad of powerful features"
15,C,os-tutorial,22190,2743,832,C,https://github.com/cfenollosa/os-tutorial,cfenollosa,87,0,52,136,0,2014-09-29T08:39:34Z,2021-12-28T22:16:48Z,How to create an OS from scratch
16,C,darknet,21971,19055,897,C,https://github.com/pjreddie/darknet,pjreddie,249,0,1724,2247,0,2014-04-11T07:59:16Z,2021-12-28T14:01:10Z,Convolutional Neural Networks
17,C,emscripten,21618,2720,619,C,https://github.com/emscripten-core/emscripten,emscripten-core,8690,0,894,7055,0,2011-02-12T05:23:30Z,2021-12-28T14:54:41Z,Emscripten: An LLVM-to-WebAssembly Compiler
